16:40; temperature; -8
16:40; pressure; 746
16:40; wind_speed; 13
16:40; temperature; -14
16:40; pressure; 725
16:40; wind_speed; 14
16:40; temperature; -11
16:40; pressure; 727
16:40; wind_speed; 3
16:40; temperature; -2
16:40; pressure; 749
16:40; wind_speed; 7
21:51; temperature; -1
21:51; pressure; 733
21:51; wind_speed; 25
21:51; temperature; -1
21:51; pressure; 736
21:51; wind_speed; 20
00:35; temperature; -9
00:35; pressure; 736
00:35; wind_speed; 46
00:35; temperature; -7
00:35; pressure; 739
00:35; wind_speed; 37
00:38; temperature; -14
00:38; pressure; 740
00:38; wind_speed; 41
00:38; temperature; -7
00:38; pressure; 722
00:38; wind_speed; 45
00:38; temperature; -2
00:38; pressure; 740
00:38; wind_speed; 32
00:38; temperature; -17
00:38; pressure; 744
00:38; wind_speed; 42
00:38; temperature; -18
00:38; pressure; 742
00:38; wind_speed; 30
00:38; temperature; -1
00:38; pressure; 733
00:38; wind_speed; 30
00:38; temperature; -2
00:38; pressure; 727
00:38; wind_speed; 50
00:38; temperature; -11
00:38; pressure; 720
00:38; wind_speed; 34
00:45; temperature; -17
00:45; pressure; 732
00:45; wind_speed; 38
00:45; temperature; -8
00:45; pressure; 725
00:45; wind_speed; 44
